Constituency,Marginal,2017 share of vote,Runner up party,Code,Party,Majority Party,Majority
North East Fife,Yes,32.86%,Lib Dem,S14000049,Scottish National Party,SNP,2
Perth and North Perthshire,Yes,42.32%,Conservative,S14000054,Scottish National Party,SNP,21
Kensington,Yes,42.23%,Conservative,E14000768,Labour,Lab,20
Dudley North,Yes,46.49%,Conservative,E14000671,Labour,Lab,22
Richmond Park,Yes,45.14%,Lib Dem,E14000896,Conservative,C,45
"Southampton, Itchen",Yes,46.54%,Labour,E14000955,Conservative,C,31
Newcastle-under-Lyme,Yes,48.18%,Conservative,E14000834,Labour,Lab,30
Crewe and Nantwich,Yes,47.12%,Conservative,E14000653,Labour,Lab,48
Colne Valley,Yes,46.96%,Labour,E14000645,Conservative,Lab,85
Glasgow South West,Yes,40.66%,Labour,S14000035,Scottish National Party,SNP,60
Glasgow East,Yes,38.77%,Labour,S14000030,Scottish National Party,SNP,75
Ceredigion,Yes,29.23%,Lib Dem,W07000064,Plaid Cymru,PC,104
Stirling,Yes,37.06%,Scottish National Party,S14000057,Conservative,C,148
Canterbury,Yes,45.02%,Labour,E14000619,Labour,Lab,187
Arfon,Yes,40.84%,Conservative,W07000057,Plaid Cymru,PC,92
Foyle,Yes,39.72%,Social Democratic and Labour Party,N06000008,Sinn Fein,SF,169
Barrow and Furness,Yes,47.47%,Conservative,E14000543,Labour,Lab,209
Keighley,Yes,46.53%,Conservative,E14000766,Labour,Lab,249
Airdrie and Shotts,Yes,37.61%,Labour,S14000003,Scottish National Party,SNP,195
Rutherglen and Hamilton West,Yes,37.55%,Scottish National Party,S14000056,Labour,Lab,265
Lanark and Hamilton East,Yes,32.58%,Conservative,S14000042,Scottish National Party,SNP,266
Kirkcaldy and Cowdenbeath,Yes,36.84%,Scottish National Party,S14000041,Labour,Lab,259
St Ives,Yes,43.18%,Lib Dem,E14000964,Conservative,C,312
Pudsey,Yes,47.35%,Labour,E14000886,Conservative,C,331
Hastings and Rye,Yes,46.87%,Labour,E14000735,Conservative,C,346
Chipping Barnet,Yes,46.33%,Labour,E14000636,Conservative,C,353
Thurrock,Yes,39.51%,Labour,E14000995,Conservative,C,345
