name,date,value
Con,2019-11-06,10529
Con,2019-11-07,19163
Con,2019-11-08,32695
Con,2019-11-09,44858
Con,2019-11-10,57239
Con,2019-11-11,67644
Con,2019-11-12,81139
Con,2019-11-13,87715
Con,2019-11-14,89919
Con,2019-11-15,94067
Con,2019-11-16,98750
Con,2019-11-17,100225
Con,2019-11-18,100225
Con,2019-11-19,100942
Con,2019-11-20,104104
Con,2019-11-21,107499
Con,2019-11-22,111505
Con,2019-11-23,115261
Con,2019-11-24,124114
Con,2019-11-25,134738
Con,2019-11-26,147654
Con,2019-11-27,162291
Con,2019-11-28,172291
Con,2019-11-29,179385
Con,2019-11-30,185282
Con,2019-12-01,196480
Con,2019-12-02,202883
Con,2019-12-03,226799
Lab,2019-11-06,6675
Lab,2019-11-07,12075
Lab,2019-11-08,17790
Lab,2019-11-09,21319
Lab,2019-11-10,23887
Lab,2019-11-11,31258
Lab,2019-11-12,36081
Lab,2019-11-13,45145
Lab,2019-11-14,55896
Lab,2019-11-15,73189
Lab,2019-11-16,88100
Lab,2019-11-17,104298
Lab,2019-11-18,104298
Lab,2019-11-19,124276
Lab,2019-11-20,145628
Lab,2019-11-21,171489
Lab,2019-11-22,194322
Lab,2019-11-23,214024
Lab,2019-11-24,236124
Lab,2019-11-25,265150
Lab,2019-11-26,347202
Lab,2019-11-27,347238
Lab,2019-11-28,408280
Lab,2019-11-29,455571
Lab,2019-11-30,512540
Lab,2019-12-01,560802
Lab,2019-12-02,609767
Lab,2019-12-03,646507
Lib Dem,2019-11-06,3403
Lib Dem,2019-11-07,7591
Lib Dem,2019-11-08,9531
Lib Dem,2019-11-09,16516
Lib Dem,2019-11-10,25748
Lib Dem,2019-11-11,33388
Lib Dem,2019-11-12,42401
Lib Dem,2019-11-13,51936
Lib Dem,2019-11-14,63218
Lib Dem,2019-11-15,76148
Lib Dem,2019-11-16,93609
Lib Dem,2019-11-17,112422
Lib Dem,2019-11-18,112422
Lib Dem,2019-11-19,142525
Lib Dem,2019-11-20,173986
Lib Dem,2019-11-21,201715
Lib Dem,2019-11-22,230938
Lib Dem,2019-11-23,262513
Lib Dem,2019-11-24,293845
Lib Dem,2019-11-25,324717
Lib Dem,2019-11-26,355705
Lib Dem,2019-11-27,382061
Lib Dem,2019-11-28,412544
Lib Dem,2019-11-29,440343
Lib Dem,2019-11-30,468949
Lib Dem,2019-12-01,496001
Lib Dem,2019-12-02,521940
Lib Dem,2019-12-03,546005
Brexit,2019-11-06,3129
Brexit,2019-11-07,7321
Brexit,2019-11-08,11510
Brexit,2019-11-09,15687
Brexit,2019-11-10,19843
Brexit,2019-11-11,24038
Brexit,2019-11-12,24038
Brexit,2019-11-13,25192
Brexit,2019-11-14,29384
Brexit,2019-11-15,33576
Brexit,2019-11-16,37768
Brexit,2019-11-17,41960
Brexit,2019-11-18,41960
Brexit,2019-11-19,46152
Brexit,2019-11-20,53257
Brexit,2019-11-21,76906
Brexit,2019-11-22,107857
Brexit,2019-11-23,131298
Brexit,2019-11-24,168632
Brexit,2019-11-25,171737
Brexit,2019-11-26,171737
Brexit,2019-11-27,171737
Brexit,2019-11-28,172365
Brexit,2019-11-29,179074
Brexit,2019-11-30,204537
Brexit,2019-12-01,221463
Brexit,2019-12-02,223421
Brexit,2019-12-03,243070
Green,2019-11-06,0
Green,2019-11-07,0
Green,2019-11-08,0
Green,2019-11-09,0
Green,2019-11-10,0
Green,2019-11-11,0
Green,2019-11-12,0
Green,2019-11-13,0
Green,2019-11-14,0
Green,2019-11-15,0
Green,2019-11-16,0
Green,2019-11-17,0
Green,2019-11-18,0
Green,2019-11-19,939
Green,2019-11-20,1892
Green,2019-11-21,2871
Green,2019-11-22,3856
Green,2019-11-23,4938
Green,2019-11-24,5938
Green,2019-11-25,7610
Green,2019-11-26,10634
Green,2019-11-27,12813
Green,2019-11-28,14157
Green,2019-11-29,15376
Green,2019-11-30,16697
Green,2019-12-01,18005
Green,2019-12-02,21943
Green,2019-12-03,27914
SNP,2019-11-06,0
SNP,2019-11-07,0
SNP,2019-11-08,0
SNP,2019-11-09,0
SNP,2019-11-10,0
SNP,2019-11-11,0
SNP,2019-11-12,0
SNP,2019-11-13,0
SNP,2019-11-14,0
SNP,2019-11-15,0
SNP,2019-11-16,0
SNP,2019-11-17,0
SNP,2019-11-18,0
SNP,2019-11-19,0
SNP,2019-11-20,0
SNP,2019-11-21,0
SNP,2019-11-22,0
SNP,2019-11-23,0
SNP,2019-11-24,0
SNP,2019-11-25,0
SNP,2019-11-26,0
SNP,2019-11-27,0
SNP,2019-11-28,0
SNP,2019-11-29,0
SNP,2019-11-30,0
SNP,2019-12-01,0
SNP,2019-12-02,18
SNP,2019-12-03,275
Plaid,2019-11-06,251
Plaid,2019-11-07,468
Plaid,2019-11-08,769
Plaid,2019-11-09,1030
Plaid,2019-11-10,1265
Plaid,2019-11-11,1265
Plaid,2019-11-12,1450
Plaid,2019-11-13,1647
Plaid,2019-11-14,1849
Plaid,2019-11-15,2067
Plaid,2019-11-16,2309
Plaid,2019-11-17,2567
Plaid,2019-11-18,2567
Plaid,2019-11-19,2795
Plaid,2019-11-20,3027
Plaid,2019-11-21,3259
Plaid,2019-11-22,3488
Plaid,2019-11-23,3704
Plaid,2019-11-24,3920
Plaid,2019-11-25,4145
Plaid,2019-11-26,4366
Plaid,2019-11-27,4589
Plaid,2019-11-28,4809
Plaid,2019-11-29,4915
Plaid,2019-11-30,4915
Plaid,2019-12-01,4915
Plaid,2019-12-02,4915
Plaid,2019-12-03,5192
