Page ID,Page Name,Disclaimer,Amount Spent (GBP),Number of Ads in Library
1863944713844924,Best For Britain,Best For Britain,77985,56
8807334278,Conservatives,The Conservative Party,60059,74
25749647410,The Labour Party,The Labour Party,52263,76
5883973269,Liberal Democrats,the Liberal Democrats,32526,1050
7972991316,Boris Johnson,The Conservative Party,30185,32
230416667843105,The Brexit Party,The Brexit Party,17005,57
713179875369048,London Gov,The Greater London Authority,13233,1
9250349228,Greenpeace UK,Greenpeace UK,12988,17
91897231853,HOPE not hate,HOPE not hate,12553,359
562032903912680,Property & Business Info,Property & Business Info,9421,76
18168505158,The Woodland Trust,The Woodland Trust,8533,21
7715002593,UNICEF UK,UNICEF UK,7547,107
211614899544570,Long Live The Local,Long Live The Local,5740,66
311627208673,WWF UK,WWF UK,5441,23
156922821011409,Timberland,PHD Media,4149,20
136308776480,Scottish Conservatives,Scottish Conservatives,4011,3
110861655604080,Friends of the Earth,Friends of the Earth,3925,221
97708339756,Action for Children,Action for Children,3344,30
268340433322523,Gavin Shuker,Gavin Shuker,2948,2
198898684133247,Solar Finder,These ads ran without a disclaimer,2950,17
111622410196045,State of Youth,KidsRights with Facebook ad credits,2088,4
1540152786230577,Chris Philp,Croydon Conservatives,1910,30
850551875009799,Stephen Kerr for Stirling,The Conservative Party,1845,3
110861655604080,Friends of the Earth,These ads ran without a disclaimer,1949,157
139695000173,Good Energy,These ads ran without a disclaimer,1696,15
856811354434520,Carzoopa - Southampton Car Finance,Lee Anthony Oregan,1641,2
2026046207505845,Vote For Your Future,Vote For Your Future,1616,16
1855491614716590,Pure Planet,These ads ran without a disclaimer,1667,45
26416930992,Plaid Cymru,Plaid Cymru,1569,26
1698991126784763,Monica Harding for Esher & Walton,Patrick Nicholas C Combe,1537,9
104133804357735,It's Our Time UK,The Comms Lab,1521,23
200006375787,38 Degrees,38 Degrees,1487,12
26698813123,British Red Cross,British Red Cross,1521,55
799576543492660,The Week Junior,The Week Junior,1413,9
159670677391384,Welsh Labour,Welsh Labour,1357,14
713179875369048,London Gov,the Greater London Authority,1240,8
10677003998,Shelter,Shelter,1223,54
372926399915233,Dr Kieran Mullan,Crewe and Nantwich Conservatives,1169,6
160709211871,Prospect Magazine,Prospect Magazine,1164,11
642444842524195,Scientists for EU,These ads ran without a disclaimer,1140,1
152393064942305,Luke Pollard,Luke Pollard,1120,2
748608695327755,People's Vote UK,People's Vote UK,1056,12
254451068317816,Patagonia,Patagonia,1029,10
474613052643462,London Labour Party,London Labour Party,1004,2
681337358647228,Greg Hands,"Kensington, Chelsea & Fulham Conservatives",1000,1
311126315707480,Zac Goldsmith,Richmond Park & North Kingston Conservatives,1000,4
7624294394,Amnesty International UK,Amnesty International UK,1049,79
